Player,Pos.,Team,Amount,Infraction,Week,6,Year
Eric Wright,CB,DET,"$5,000.00 ",Other Uniform/Equipment Violation,Week 5,,2011
Jimmy Kennedy,DT,NYG,"$190,588.00 ",PED,,,2011
Haloti Ngata,DT,BAL,"$15,000.00 ",Roughing the Passer,Week 4,,2011
Patrick Chung,SS,NE,"$7,500.00 ",Hit on Defenseless Player,Week 4,,2011
Patrick Peterson,CB,ARI,"$5,000.00 ",Late Hit,Week 4,,2011
Rob Jackson,OLB,WAS,"$15,000.00 ",Roughing the Passer,Week 4,,2011
Perry Riley,ILB,WAS,"$15,000.00 ",Hit on Defenseless Player,Week 4,,2011
Anthony Davis,RT,SF,"$25,000.00 ",Leg Whip,Week 4,,2011
Jason Babin,DE,JAC,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Brandon Spikes,ILB,BUF,"$21,000.00 ",Blindside Block,Week 3,,2011
Jaimie Thomas,T,IND,"$115,294.00 ",Substance Abuse,,,2011
Niles Paul,TE,WAS,"$20,000.00 ",Hit on Defenseless Player,Week 4,,2011
Brandon Meriweather,SS,CHI,"$20,000.00 ",Helmet-to-Helmet Hit,Week 4,,2011
Erik Walden,OLB,GB,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Rob Ninkovich,OLB,NE,"$15,000.00 ",Helmet-to-Helmet Hit,Week 3,,2011
Brian Price,DT,CHI,"$7,500.00 ",Hit on Defenseless Player,Week 3,,2011
Nick Barnett,ILB,BUF,"$7,500.00 ",Late Hit,Week 3,,2011
Danieal Manning,S,HOU,"$15,000.00 ",Late Hit,Week 3,,2011
Travis LaBoy,DT,SD,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Danario Alexander,WR,STL,"$5,000.00 ",Late Hit,Week 3,,2011
Jacob Bell,G,STL,"$7,500.00 ",Chop Block,Week 3,,2011
Jason Smith,LT,STL,"$7,500.00 ",Face Mask,Week 3,,2011
Bradley Fletcher,CB,STL,"$7,500.00 ",Late Hit,Week 3,,2011
Bradley Fletcher,CB,STL,"$7,500.00 ",Horse Collar Tackle,Week 3,,2011
Chad Greenway,OLB,MIN,"$7,500.00 ",Horse Collar Tackle,Week 3,,2011
Igor Olshansky,DE,MIA,"$10,000.00 ",Roughing the Passer,Week 3,,2011
Yeremiah Bell,S,MIA,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Brandon Marshall,WR,MIA,"$7,500.00 ",Late Hit,Week 3,,2011
Terrell Suggs,OLB,BAL,"$7,500.00 ",Face Mask,Week 3,,2011
William Moore,SS,ATL,"$7,500.00 ",Helmet-to-Helmet Hit,Week 3,,2011
Phil Taylor,DT,CLE,"$7,500.00 ",Roughing the Passer,Week 3,,2011
Antonio Brown,WR,PIT,"$7,500.00 ",Low Block,Week 3,,2011
Mohamed Massaquoi,WR,CLE,"$7,500.00 ",Celebration,Week 3,,2011
Jason Jones,DE,TEN,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Daniel Graham,TE,TEN,"$5,000.00 ",Ball Into Stands,Week 3,,2011
James Farrior,LB,PIT,"$15,000.00 ",Roughing the Passer,Week 3,,2011
Brandon Underwood,CB,GB,"$61,764.00 ",Personal Conduct Policy,,,2011
Jeff King,TE,ARI,"$7,500.00 ",Face Mask,Week 2,,2011
Doug Legursky,C,PIT,"$7,500.00 ",Low Block,Week 2,,2011
Raheem Brock,DT,SEA,"$15,000.00 ",Roughing the Passer,Week 2,,2011
Andre Carter,DE,NE,"$15,000.00 ",Roughing the Passer,Week 2,,2011
Eric Weddle,FS,SD,"$15,000.00 ",Helmet-to-Helmet Hit,Week 2,,2011
Antonio Garay,DE,SD,"$15,000.00 ",Low Block,Week 2,,2011
Cullen Jenkins,DE,PHI,"$15,000.00 ",Roughing the Passer,Week 2,,2011
Derrick Morgan,OLB,TEN,"$7,500.00 ",Roughing the Passer,Week 2,,2011
Andre Roberts,WR,ARI,"$7,500.00 ",Chop Block,Week 1,,2011
Trent Cole,OLB,PHI,"$15,000.00 ",Roughing the Passer,Week 1,,2011
Ahmad Brooks,OLB,SF,"$7,500.00 ",Roughing the Passer,Week 1,,2011
C.J. Ah You,DE,STL,"$15,000.00 ",Roughing the Passer,Week 1,,2011
Antrel Rolle,SS,NYG,"$20,000.00 ",Impermissible Use of the Helmet,Week 1,,2011
Troy Polamalu,S,PIT,"$15,000.00 ",Horse Collar Tackle,Week 5,,2011
Ike Taylor,CB,PIT,"$15,000.00 ",Helmet-to-Helmet Hit,Week 1,,2011
Brendon Ayanbadejo,LB,BAL,"$15,000.00 ",Horse Collar Tackle,Week 1,,2011
Charles Woodson,SS,GB,"$10,000.00 ",Fighting,Week 1,,2011
Patrick Chung,SS,NE,"$7,500.00 ",Horse Collar Tackle,Week 1,,2011
Kenny Phillips,FS,NYG,"$10,000.00 ",Striking/Kicking/Kneeing,Week 1,,2011
Brandon Jacobs,RB,SF,"$20,000.00 ",Fighting,Preseason,,2011
Muhammad Wilkerson,DE,NYJ,"$10,000.00 ",Fighting,Preseason,,2011
Winston Venable,S,CHI,"$20,000.00 ",Hit on Defenseless Player,Preseason,,2011
Brandon Lang,LB,SD,"$75,294.00 ",Undisclosed,,,2011
Dominic Rhodes,RB,IND,"$11,764.00 ",Undisclosed,,,2011
Eric Alexander,LB,CLE,"$150,588.00 ",Undisclosed,,,2011
Pat Williams,DT,MIN,0N/A,Substance Abuse,,,2011
Robert Brewster,T,DAL,"$112,941.00 ",Undisclosed,,,2011
Charles Grant,DE,CHI,"$264,705.00 ",Substance Abuse,,,2011
Eric Barton,LB,CLE,0N/A,Undisclosed,,,2011
David Reed,WR,BAL,"$26,470.00 ",Substance Abuse,,,2011
Bobbie Williams,G,CIN,"$611,764.00 ",Substance Abuse,,,2011
Ahmard Hall,FB,TEN,"$200,000.00 ",PED,,,2011
Kevin Williams,DT,MIN,"$1,411,764.00 ",Substance Abuse,,,2011
Will Smith,OLB,NO,"$1,411,764.00 ",Substance Abuse,,,2011
Terrelle Pryor,WR,OAK,"$110,294.00 ",Undisclosed,,,2011
Ndamukong Suh,DT,DET,"$20,000.00 ",Roughing the Passer,Preseason,,2011
Phillip Buchanon,CB,WAS,"$235,294.00 ",PEDs,,,2011
Javarris James,RB,ARI,0N/A,Substance Abuse,,,2012
Bernard Pollard,S,BAL,"$15,250.00 ",Hit on Defenseless Player,Postseason,,2012
Frank Gore,RB,SF,"$10,500.00 ",Other Uniform/Equipment Violation,Postseason,,2012
Tom Brady,QB,NE,"$10,000.00 ",Striking/Kicking/Kneeing,Postseason,,2012
Antrel Rolle,SS,NYG,"$7,875.00 ",Fighting,Week 17,,2012
King Dunlap,LT,PHI,"$7,875.00 ",Fighting,Week 17,,2012
Chris Williams,G,STL,"$7,875.00 ",Late Hit,Week 17,,2012
Phil Taylor,DT,CLE,"$7,875.00 ",Hit on Defenseless Player,Week 17,,2012
Tramon Williams,CB,GB,"$7,875.00 ",Striking/Kicking/Kneeing,Week 17,,2012
Michael Crabtree,WR,SF,"$10,500.00 ",Ball Into Stands,Week 17,,2012
Frank Gore,RB,SF,"$10,500.00 ",Ball Into Stands,Week 17,,2012
Takeo Spikes,LB,SD,"$7,875.00 ",Fighting,Week 17,,2012
Mike Goodson,RB,OAK,"$7,875.00 ",Fighting,Week 17,,2012
Sav Rocca,P,WAS,"$7,875.00 ",Face Mask,Week 17,,2012
Greg Hardy,DE,CAR,"$25,000.00 ",Roughing the Passer,Week 16,,2012
Matt Kalil,LT,MIN,"$10,000.00 ",Late Hit,Week 16,,2012
Anthony Davis,RT,SF,"$10,000.00 ",Late Hit,Week 16,,2012
Vince Wilfork,DT,NE,"$30,000.00 ",Hit on Defenseless Player,Week 16,,2012
Kareem Jackson,CB,HOU,"$21,000.00 ",Hit on Defenseless Player,Week 17,,2012
Kareem Jackson,CB,HOU,"$5,250.00 ",Other Uniform/Equipment Violation,Week 17,,2012
Danieal Manning,S,HOU,"$10,000.00 ",Face Mask,Week 16,,2012
Michael Oher,RT,BAL,"$10,000.00 ",Chop Block,Week 16,,2012
Sen'Derrick Marks,DT,TEN,"$7,875.00 ",Face Mask,Week 16,,2012
Ed Reed,S,BAL,"$55,000.00 ",Hit on Defenseless Player,Week 16,,2012
Cam Newton,QB,CAR,"$21,000.00 ",Physical Contact with Official,Week 16,,2012
Cam Newton,QB,CAR,"$10,000.00 ",Striking/Kicking/Kneeing,Week 16,,2012
Anquan Boldin,WR,BAL,"$15,750.00 ",Late Hit,Week 15,,2012
Cary Williams,CB,BAL,"$15,750.00 ",Late Hit,Week 15,,2012
Brandon Marshall,WR,CHI,"$5,250.00 ",Ball Into Stands,Week 15,,2012
Chris Hope,S,ATL,"$30,000.00 ",Helmet-to-Helmet Hit,Week 15,,2012
Dashon Goldson,FS,TB,"$15,750.00 ",Other Uniform/Equipment Violation,Week 15,,2012
DeMarcus Ware,OLB,DAL,"$15,750.00 ",Roughing the Passer,Week 12,,2012
DeMarco Murray,RB,DAL,"$7,875.00 ",Face Mask,Week 15,,2012
Dashon Goldson,FS,SF,"$21,000.00 ",Helmet-to-Helmet Hit,Week 15,,2012
Robert Griffin III,QB,WAS,"$10,000.00 ",Other Uniform/Equipment Violation,Week 15,,2012
Jordan Black,T,WAS,"$194,117.00 ",PED,,,2012
Cortland Finnegan,CB,STL,"$10,000.00 ",Face Mask,Week 14,,2012
Prince Amukamara,CB,NYG,"$15,750.00 ",Horse Collar Tackle,Week 14,,2012
Quinton Coples,OLB,NYJ,"$15,000.00 ",Face Mask,Week 14,,2012
Gosder Cherilus,RT,DET,"$10,000.00 ",Chop Block,Week 14,,2012
Charles Tillman,CB,CHI,"$7,875.00 ",Late Hit,Week 14,,2012
Ernie Sims,OLB,DAL,"$15,750.00 ",Hit on Defenseless Player,Week 14,,2012
Chris Kluwe,P,MIN,"$5,250.00 ",Other Uniform/Equipment Violation,Week 14,,2012
Rashard Mendenhall,RB,PIT,"$36,029.00 ",conduct detrimental to the team,,,2012
Asa Jackson,CB,BAL,"$91,764.00 ",PED,,,2012
Brandon Jacobs,RB,SF,"$168,000.00 ",conduct detrimental to team,,,2012
Quentin Saulsberry,G,DEN,"$91,764.00 ",PED,,,2012
Alan Branch,DT,SEA,"$7,875.00 ",Roughing the Passer,Week 13,,2012
Von Miller,OLB,DEN,"$25,000.00 ",Roughing the Passer,Week 13,,2012
Tramon Williams,CB,GB,"$21,000.00 ",Hit on Defenseless Player,Week 13,,2012
Everson Griffen,DE,MIN,"$15,750.00 ",Roughing the Passer,Week 13,,2012
Jasper Brinkley,ILB,MIN,"$7,875.00 ",Face Mask,Week 13,,2012
Linval Joseph,DT,NYG,"$7,875.00 ",Striking/Kicking/Kneeing,Week 12,,2012
Will Montgomery,C,WAS,"$10,000.00 ",Striking/Kicking/Kneeing,Week 12,,2012
Jason Babin,DE,JAC,"$21,000.00 ",Hit on Defenseless Player,Week 13,,2012
Brian Urlacher,LB,CHI,"$21,000.00 ",Horse Collar Tackle,Week 13,,2012
Nick Fairley,DT,DET,"$15,750.00 ",Horse Collar Tackle,Week 13,,2012
Dashon Goldson,FS,SF,"$7,875.00 ",Roughing the Passer,Week 13,,2012
Navorro Bowman,ILB,SF,"$10,000.00 ",Late Hit,Week 14,,2012
Brandon Browner,CB,SEA,"$109,411.00 ",Violating the NFL's Performing Enhancing Drugs policy,,,2012
Cedric Griffin,CB,WAS,"$294,117.00 ",PED,,,2012
Donald Stephenson,LT,KC,"$15,750.00 ",Clipping,Week 12,,2012
Jay Cutler,QB,CHI,"$10,000.00 ",Unsportsmanlike Conduct,Week 12,,2012
Eric Weems,WR,CHI,"$7,875.00 ",Late Hit,Week 12,,2012
J.J. Watt,DE,HOU,"$15,750.00 ",Roughing the Passer,Week 12,,2012
Jerron McMillian,S,GB,"$21,000.00 ",Helmet-to-Helmet Hit,Week 12,,2012
Brian Urlacher,LB,CHI,"$15,750.00 ",Horse Collar Tackle,Week 12,,2012
Henry Melton,DT,CHI,"$7,875.00 ",Face Mask,Week 12,,2012
DeAngelo Hall,CB,WAS,"$20,000.00 ",Horse Collar Tackle,Week 12,,2012
DeAngelo Hall,CB,WAS,"$15,750.00 ",Late Hit,Week 12,,2012
Mike Jenkins,CB,DAL,"$7,875.00 ",Striking/Kicking/Kneeing,Week 12,,2012
Brandon Harris,CB,HOU,"$21,000.00 ",Hit on Defenseless Player,Week 12,,2012
Stefan Logan,WR,DET,"$7,875.00 ",Face Mask,Week 12,,2012
Brodrick Bunkley,DT,NO,"$20,000.00 ",Striking/Kicking/Kneeing,Week 12,,2012
Anquan Boldin,WR,BAL,"$7,875.00 ",Fighting,Week 12,,2012
Mike Tolbert,FB,CAR,"$21,000.00 ",Blindside Block,Week 12,,2012
Earl Thomas,FS,SEA,"$15,000.00 ",Roughing the Passer,Week 12,,2012
Chris Long,DE,STL,"$15,750.00 ",Hit on Defenseless Player,Week 12,,2012
Andrew Whitworth,LT,CIN,"$26,250.00 ",Fighting,Week 12,,2012
Desmond Bryant,DE,OAK,"$26,250.00 ",Fighting,Week 12,,2012
Lamarr Houston,OLB,OAK,"$26,250.00 ",Fighting,Week 12,,2012
Tommy Kelly,DT,OAK,"$26,250.00 ",Fighting,Week 12,,2012
Matt Shaughnessy,DE,OAK,"$26,250.00 ",Fighting,Week 12,,2012
Jared Allen,DE,MIN,"$21,000.00 ",Blindside Block,Week 12,,2012
Ndamukong Suh,DT,DET,"$30,000.00 ",Striking/Kicking/Kneeing,Week 12,,2012
Jermaine Cunningham,DE,NE,"$127,058.00 ",PED,,,2012
Kyle Arrington,CB,NE,"$21,000.00 ",Helmet-to-Helmet Hit,Week 11,,2012
T.J. Ward,SS,CLE,"$25,000.00 ",Helmet-to-Helmet Hit,Week 11,,2012
Dawan Landry,S,JAC,"$21,000.00 ",Hit on Defenseless Player,Week 11,,2012
Garrett McIntyre,OLB,NYJ,"$15,750.00 ",Helmet-to-Helmet Hit,Week 11,,2012
Thomas Davis,OLB,CAR,"$21,000.00 ",Hit on Defenseless Player,Week 11,,2012
Ted Larsen,G,TB,"$7,875.00 ",Late Hit,Week 11,,2012
Brad Jones,ILB,GB,"$15,750.00 ",Roughing the Passer,Week 11,,2012
Ed Reed,S,BAL,"$50,000.00 ",Helmet-to-Helmet Hit,Week 11,,2012
Winston Guy,FS,SEA,"$91,764.00 ",Substance Abuse,,,2012
Joe Hawley,C,ATL,"$127,058.00 ",Substance Abuse,,,2012
Tamba Hali,OLB,KC,"$25,000.00 ",Roughing the Passer,Week 11,,2012
Philip Wheeler,OLB,OAK,"$7,875.00 ",Face Mask,Week 11,,2012
Ryan Broyles,WR,DET,"$10,000.00 ",Peelback Block,Week 11,,2012
Justin Houston,OLB,KC,"$7,875.00 ",Celebration,Week 11,,2012
Aaron Curry,OLB,OAK,"$15,750.00 ",Late Hit,Week 10,,2012
Aaron Curry,OLB,OAK,"$7,875.00 ",Hit on Defenseless Player,Week 10,,2012
Ray McDonald,DT,SF,"$21,000.00 ",Hit on Defenseless Player,Week 10,,2012
Jerry Hughes,DE,IND,"$15,750.00 ",Roughing the Passer,Week 10,,2012
Brandon Spikes,ILB,NE,"$25,000.00 ",Roughing the Passer,Week 10,,2012
Richie Incognito,G,MIA,"$10,000.00 ",Late Hit,Week 10,,2012
Alfonzo Dennard,CB,NE,"$7,875.00 ",Late Hit,Week 10,,2012
Rey Maualuga,ILB,CIN,"$15,750.00 ",Hit on Defenseless Player,Week 10,,2012
Dawan Landry,S,JAC,"$10,000.00 ",Late Hit,Week 10,,2012
Jerod Mayo,ILB,NE,"$10,000.00 ",Late Hit,Week 10,,2012
Terrance Knighton,DT,JAC,"$25,000.00 ",Late Hit,Week 10,,2012
Jasper Brinkley,ILB,MIN,"$21,000.00 ",Hit on Defenseless Player,Week 10,,2012
Von Miller,OLB,DEN,"$21,000.00 ",Roughing the Passer,Week 10,,2012
Kevin Vickerson,DT,DEN,"$15,750.00 ",Horse Collar Tackle,Week 10,,2012
DeAngelo Hall,CB,WAS,"$30,000.00 ",Verbal or other Non-Physical Offense Against  Official,Week 10,,2012
Tim Dobbins,ILB,HOU,"$30,000.00 ",Roughing the Passer,Week 10,,2012
Matt Hasselbeck,QB,TEN,"$15,750.00 ",Horse Collar Tackle,Week 9,,2012
Dannell Ellerbe,OLB,BAL,"$10,000.00 ",Hit on Defenseless Player,Week 9,,2012
Greg Hardy,DE,CAR,"$15,750.00 ",Roughing the Passer,Week 9,,2012
Haruki Nakamura,S,CAR,"$21,000.00 ",Hit on Defenseless Player,Week 9,,2012
Michael Vick,QB,PHI,"$7,875.00 ",Low Block,Week 9,,2012
Emmanuel Sanders,WR,PIT,"$15,000.00 ",Faking Injury,Week 9,,2012
Ryan Taylor,TE,GB,"$21,000.00 ",Blindside Block,Week 9,,2012
Michael Griffin,FS,TEN,"$20,000.00 ",Horse Collar Tackle,Week 9,,2012
Tyvon Branch,SS,OAK,"$15,750.00 ",Horse Collar Tackle,Week 9,,2012
Cassius Vaughn,CB,IND,"$7,875.00 ",Late Hit,Week 9,,2012
Brandon Bolden,RB,NE,"$91,764.00 ",PED,,,2012
Richard Seymour,DT,OAK,"$15,750.00 ",Roughing the Passer,Week 10,,2012
Jared Allen,DE,MIN,"$7,875.00 ",Face Mask,Week 10,,2012
Mike Martin,DT,TEN,"$15,750.00 ",Roughing the Passer,Week 8,,2012
Marcus Dowtin,OLB,NYJ,"$15,750.00 ",Roughing the Passer,Week 8,,2012
Jonathan Martin,RT,MIA,"$10,000.00 ",Clipping,Week 8,,2012
Christopher Conte,FS,CHI,"$21,000.00 ",Hit on Defenseless Player,Week 8,,2012
Chris Canty,DE,NYG,"$15,750.00 ",Roughing the Passer,Week 8,,2012
Donald Penn,LT,TB,"$7,875.00 ",Fighting,Week 9,,2012
Antonio Brown,WR,PIT,"$10,000.00 ",Taunting,Week 8,,2012
Eric Wright,CB,TB,"$1,705,882.00 ",PED,,,2012
Lee Ziemba,G,CAR,"$172,941.00 ",performance enhancing drugs,,,2012
Alphonso Smith,CB,DET,"$15,750.00 ",Horse Collar Tackle,Week 7,,2012
Brandon Marshall,WR,CHI,"$10,500.00 ",Other Uniform/Equipment Violation,Week 7,,2012
Earl Bennett,WR,CHI,"$10,500.00 ",Other Uniform/Equipment Violation,Week 7,,2012
Rashad Johnson,FS,ARI,"$21,000.00 ",Blindside Block,Week 7,,2012
Cortland Finnegan,CB,STL,"$7,875.00 ",Face Mask,Week 7,,2012
Bernard Pollard,S,BAL,"$7,875.00 ",Face Mask,Week 7,,2012
Charles Godfrey,SS,CAR,"$7,875.00 ",Chop Block,Week 7,,2012
Tyler Polumbus,LT,WAS,"$7,875.00 ",Leg Whip,Week 7,,2012
D'Qwell Jackson,ILB,CLE,"$7,875.00 ",Late Hit,Week 7,,2012
Dashon Goldson,FS,SF,"$7,875.00 ",Taunting,Week 7,,2012
Donald Washington,CB,KC,"$108,529.00 ",violating the league's personal conduct policy,,,2012
Nate Burleson,WR,DET,"$10,000.00 ",Celebration,Week 6,,2012
Danieal Manning,S,HOU,"$15,000.00 ",Striking/Kicking/Kneeing,Week 6,,2012
Harrison Smith,FS,MIN,"$15,750.00 ",Horse Collar Tackle,Week 6,,2012
Aaron Maybin,OLB,NYJ,"$7,875.00 ",Roughing the Passer,Week 6,,2012
Quinton Coples,OLB,NYJ,"$10,000.00 ",Roughing the Passer,Week 6,,2012
Jason Jones,DE,SEA,"$15,750.00 ",Helmet-to-Helmet Hit,Week 6,,2012
Lawrence Jackson,DE,DET,"$15,750.00 ",Roughing the Passer,Week 6,,2012
Alameda Ta'amu,DT,PIT,"$45,882.00 ",Off-field arrest,,,2012
Aqib Talib,CB,NE,"$435,882.00 ",Substance Abuse,,,2012
Chris Clemons,DE,SEA,"$15,750.00 ",Roughing the Passer,Week 5,,2012
Larry Fitzgerald,WR,ARI,"$7,875.00 ",Face Mask,Week 5,,2012
Jermelle Cudjo,DT,STL,"$7,875.00 ",Roughing the Passer,Week 5,,2012
Melvin Ingram,OLB,SD,"$15,750.00 ",Roughing the Passer,Week 6,,2012
Robert Quinn,OLB,STL,"$15,750.00 ",Helmet-to-Helmet Hit,Week 5,,2012
Cory Redding,DE,IND,"$7,875.00 ",Striking/Kicking/Kneeing,Week 6,,2012
Sen'Derrick Marks,DT,TEN,"$7,875.00 ",Late Hit,Week 5,,2012
Matt Slauson,G,NYJ,"$10,000.00 ",Low Block,Week 5,,2012
Michael Griffin,FS,TEN,"$21,000.00 ",Helmet-to-Helmet Hit,Week 5,,2012
Nick Perry,OLB,GB,"$15,000.00 ",Roughing the Passer,Week 5,,2012
Jonathan Vilma,ILB,NO,"$1,600,000.00 ",conduct detrimental to league,,,2012
Will Smith,OLB,NO,"$1,619,377.00 ",conduct detrimental to league,,,2012
Will Hill,SS,NYG,"$91,764.00 ",PED,,,2012
Chad Greenway,OLB,MIN,"$21,000.00 ",Helmet-to-Helmet Hit,Week 4,,2012
B.J. Raji,DT,GB,"$7,875.00 ",Striking/Kicking/Kneeing,Week 4,,2012
David Stewart,RT,TEN,"$7,875.00 ",Striking/Kicking/Kneeing,Week 4,,2012
Jay Feely,K,ARI,"$7,875.00 ",Late Hit,Week 4,,2012
Brandon Spikes,ILB,NE,"$21,000.00 ",Blindside Block,Week 4,,2012
Charles Johnson,DE,CAR,"$7,875.00 ",Face Mask,Week 4,,2012
Malcolm Jenkins,FS,NO,"$7,875.00 ",Face Mask,Week 4,,2012
D.J. Williams,ILB,DEN,"$432,352.00 ",performance enhancing drugs,,,2012
Kyle Williams,DT,BUF,"$15,000.00 ",Hit on Defenseless Player,Week 4,,2012
Ryan Mundy,SS,PIT,"$21,000.00 ",Hit on Defenseless Player,Week 3,,2012
Brandon Browner,CB,SEA,"$7,875.00 ",Hit on Defenseless Player,Week 3,,2012
Stephen Tulloch,ILB,DET,"$21,000.00 ",Helmet-to-Helmet Hit,Week 3,,2012
Ed Reed,S,BAL,"$21,000.00 ",Helmet-to-Helmet Hit,Week 3,,2012
Scott Solomon,OLB,TEN,"$15,750.00 ",Roughing the Passer,Week 3,,2012
Von Miller,OLB,DEN,"$15,750.00 ",Roughing the Passer,Week 3,,2012
Leroy Harris,C,TEN,"$10,000.00 ",Late Hit,Week 3,,2012
Jason Babin,DE,PHI,"$15,750.00 ",Horse Collar Tackle,Week 3,,2012
Charles Godfrey,SS,CAR,"$7,875.00 ",Unsportsmanlike Conduct,Week 3,,2012
Dominique Rodgers-Cromartie,CB,PHI,"$7,875.00 ",Striking/Kicking/Kneeing,Week 3,,2012
Adam-Pacman Jones,CB,CIN,"$15,750.00 ",Horse Collar Tackle,Week 3,,2012
Joe Mays,ILB,DEN,"$50,000.00 ",Roughing the Passer,Week 3,,2012
Joe Mays,ILB,DEN,"$205,882.00 ",violating player safety rules,,,2012
Golden Tate,WR,SEA,"$21,000.00 ",Blindside Block,Week 2,,2012
Lawrence Timmons,ILB,PIT,"$21,000.00 ",Roughing the Passer,Week 2,,2012
Tarell Brown,CB,SF,"$5,250.00 ",Other Uniform/Equipment Violation,Week 2,,2012
Kamerion Wimbley,OLB,TEN,"$15,000.00 ",Hit on Defenseless Player,Week 2,,2012
Da'Norris Searcy,SS,BUF,"$21,000.00 ",Hit on Defenseless Player,Week 2,,2012
Josh Morgan,WR,WAS,"$7,875.00 ",Unsportsmanlike Conduct,Week 2,,2012
Lorenzo Alexander,OLB,WAS,"$15,750.00 ",Horse Collar Tackle,Week 2,,2012
Janoris Jenkins,CB,STL,"$15,750.00 ",Hit on Defenseless Player,Week 2,,2012
Robert Quinn,OLB,STL,"$7,857.00 ",Hit on Defenseless Player,Week 2,,2012
John Wendling,S,DET,"$7,857.00 ",Late Hit,Week 2,,2012
Jerod Mayo,ILB,NE,"$21,000.00 ",Hit on Defenseless Player,Week 2,,2012
Steve Gregory,S,NE,"$7,857.00 ",Late Hit,Week 2,,2012
DeSean Jackson,WR,PHI,"$10,000.00 ",Striking/Kicking/Kneeing,Week 2,,2012
Cullen Jenkins,DE,PHI,"$7,875.00 ",Late Hit,Week 2,,2012
Cary Williams,CB,BAL,"$10,000.00 ",Face Mask,Week 2,,2012
Ray Rice,RB,BAL,"$7,875.00 ",Late Hit,Week 2,,2012
Marshal Yanda,G,BAL,"$7,875.00 ",Late Hit,Week 2,,2012
David Baas,C,NYG,"$7,875.00 ",Unsportsmanlike Conduct,Week 2,,2012
Kevin Boothe,G,NYG,"$7,875.00 ",Unsportsmanlike Conduct,Week 2,,2012
Ray Edwards,DE,ATL,"$8,000.00 ",Late Hit,Week 2,,2012
Matt Kalil,LT,MIN,"$7,875.00 ",Late Hit,Week 2,,2012
Jasper Brinkley,ILB,MIN,"$7,875.00 ",Fighting,Week 2,,2012
Dwayne Allen,TE,IND,"$7,875.00 ",Fighting,Week 2,,2012
Anthony Castonzo,LT,IND,"$7,875.00 ",Striking/Kicking/Kneeing,Week 2,,2012
LaRon Landry,S,NYJ,"$15,750.00 ",Horse Collar Tackle,Week 2,,2012
Kenny Phillips,FS,NYG,"$30,000.00 ",Hit on Defenseless Player,Week 2,,2012
Mason Foster,ILB,TB,"$21,000.00 ",Helmet-to-Helmet Hit,Week 2,,2012
Andre Brown,RB,NYG,"$15,750.00 ",Horse Collar Tackle,Week 2,,2012
