Player,Pos.,Team,Amount,Infraction,Week,6,Year
Jimmy Wilson,SS,MIA,"$15,750.00 ",Roughing the Passer,Week 2,,2012
Gerell Robinson,WR,ARI,"$91,764.00 ",PED,,,2012
Clark Haggans,LB,SF,"$176,470.00 ",Substance Abuse,,,2012
Letroy Guion,DE,MIN,"$7,875.00 ",Roughing the Passer,Week 1,,2012
Jason Babin,DE,PHI,"$15,750.00 ",Roughing the Passer,Week 1,,2012
Taylor Mays,SS,CIN,"$21,000.00 ",Helmet-to-Helmet Hit,Week 1,,2012
Madieu Williams,S,WAS,"$21,000.00 ",Helmet-to-Helmet Hit,Week 1,,2012
Rahim Moore,FS,DEN,"$21,000.00 ",Hit on Defenseless Player,Week 1,,2012
Antonio Smith,DE,HOU,"$21,000.00 ",Striking/Kicking/Kneeing,Week 1,,2012
Everson Griffen,DE,MIN,"$15,750.00 ",Helmet-to-Helmet Hit,Week 1,,2012
Tyron Smith,LT,DAL,"$15,750.00 ",Horse Collar Tackle,Week 1,,2012
Shaun Draughn,RB,KC,"$7,875.00 ",Face Mask,Week 1,,2012
Mike Pouncey,C,MIA,"$7,875.00 ",Face Mask,Week 1,,2012
Dejon Gomes,S,WAS,"$8,000.00 ",Hit on Defenseless Player,Week 1,,2012
Joe Haden,CB,CLE,"$1,356,589.00 ",PED,,,2012
Tanard Jackson,S,WAS,"$700,000.00 ",Substance Abuse,,,2012
Kenny Britt,WR,TEN,"$41,636.00 ",Personal Conduct Policy,,,2012
Nigel Carr,ILB,BAL,"$15,000.00 ",Roughing the Passer,Preseason,,2012
Aaron Berry,CB,NYJ,"$82,058.00 ",Personal Conduct Policy,,,2012
Tamba Hali,OLB,KC,"$661,764.00 ",Substance Abuse,,,2012
Garrett Brown,DT,SD,"$91,764.00 ",PED,,,2012
D.J. Williams,ILB,DEN,"$1,729,411.00 ",DUI,,,2012
Tyler Sash,S,NYG,"$109,411.00 ",PED,,,2012
Nate Collins,DT,CHI,"$31,764.00 ",Substance Abuse,,,2012
Andre Neblett,DT,CAR,"$115,294.00 ",PED,,,2012
Lawrence Wilson,ILB,NO,"$45,882.00 ",Substance Abuse,,,2012
Brody Eldridge,TE,STL,"$127,058.00 ",PED,,,2012
Trevis Turner,T,PIT,"$91,764.00 ",Undisclosed,,,2012
Mikel Leshoure,RB,DET,"$54,705.00 ",Substance Abuse,,,2012
Dontay Moch,DE,CIN,"$120,552.00 ",PED,,,2012
Jerome Simpson,WR,MIN,"$141,176.00 ",,,,2012
Ramon Humber,OLB,NO,0N/A,Undisclosed,,,2012
Allen Barbre,RT,SEA,"$164,705.00 ",PEDs,,,2012
Ryan McBean,DE,BAL,"$214,285.00 ",PED,,,2012
Andre Brown,RB,NYG,"$109,411.00 ",performance enhancing drugs,,,2012
Michael Neal,OLB,GB,"$127,058.00 ",PED,,,2012
Virgil Green,TE,DEN,"$109,411.00 ",PED,,,2012
Dwayne Jarrett,WR,CAR,0N/A,Personal Conduct Policy,,,2012
D.J. Williams,ILB,DEN,"$864,705.00 ",performance enhancing drugs,,,2012
Brett Hartmann,P,HOU,"$109,411.00 ",Neal,,,2012
Fred Davis,TE,WAS,0N/A,Violating the NFL's substance abuse policy,,,2013
Richard Sherman,CB,SEA,"$7,875.00 ",Taunting,Postseason,,2013
Rafael Bush,FS,NO,"$21,000.00 ",Hit on Defenseless Player,Postseason,,2013
James Ihedigbo,SS,BAL,"$15,750.00 ",Crown-of-Helmet Violation,Week 17,,2013
A.J. Hawk,OLB,GB,"$15,750.00 ",Hit on Defenseless Player,Week 17,,2013
DeMarco Murray,RB,DAL,"$21,000.00 ",Crown-of-Helmet Violation,Week 17,,2013
DeAngelo Hall,CB,WAS,"$7,875.00 ",Striking/Kicking/Kneeing,Week 13,,2013
Dwan Edwards,DT,CAR,"$15,750.00 ",Roughing the Passer,Week 17,,2013
Kendall Langford,DE,STL,"$7,875.00 ",Physical Contact with Official,Week 17,,2013
Eugene Sims,DE,STL,"$7,875.00 ",Helmet-to-Helmet Hit,Week 17,,2013
Chase Reynolds,RB,STL,"$7,875.00 ",Helmet-to-Helmet Hit,Week 17,,2013
Akiem Hicks,DE,NO,"$7,875.00 ",Roughing the Passer,Week 17,,2013
Tyrunn Walker,DT,NO,"$7,875.00 ",Roughing the Passer,Week 17,,2013
Kam Chancellor,SS,SEA,"$7,875.00 ",Late Hit,Week 17,,2013
Kenny Stills,WR,NO,"$7,875.00 ",Celebration,Week 17,,2013
Lance Moore,WR,NO,"$7,875.00 ",Celebration,Week 17,,2013
Jordan Poyer,FS,CLE,"$7,875.00 ",Face Mask,Week 17,,2013
Dashon Goldson,FS,TB,"$60,000.00 ",Helmet-to-Helmet Hit,Week 16,,2013
Sheldon Richardson,DT,NYJ,"$15,750.00 ",Roughing the Passer,Week 16,,2013
Matt Spaeth,TE,PIT,"$7,875.00 ",Late Hit,Week 16,,2013
Robert Woods,WR,BUF,"$15,000.00 ",Striking/Kicking/Kneeing,Week 16,,2013
Nick Foles,QB,PHI,"$10,000.00 ",Blindside Block,Week 15,,2013
Gosder Cherilus,RT,IND,"$7,875.00 ",Fighting,Week 15,,2013
Kamerion Wimbley,OLB,TEN,"$10,000.00 ",Roughing the Passer,Week 15,,2013
Marcus Benard,OLB,ARI,"$15,750.00 ",Roughing the Passer,Week 15,,2013
Matt Elam,SS,BAL,"$7,875.00 ",Roughing the Passer,Week 15,,2013
Brandon Browner,CB,SEA,"$95,626.00 ",Repeat Offender - Substance Abuse (Marijuana),,,2013
Terence Garvin,ILB,PIT,"$25,000.00 ",Hit on Defenseless Player,Week 15,,2013
D.J. Swearinger,SS,HOU,"$7,875.00 ",Face Mask,Week 14,,2013
LaRon Landry,S,IND,"$7,875.00 ",Unsportsmanlike Conduct,Week 14,,2013
Von Miller,OLB,DEN,"$25,000.00 ",Roughing the Passer,Week 14,,2013
Brandon Marshall,WR,CHI,"$15,000.00 ",Other Uniform/Equipment Violation,Week 14,,2013
Thomas Morstead,P,NO,"$7,875.00 ",Face Mask,Week 14,,2013
Jairus Byrd,FS,BUF,"$15,750.00 ",Roughing the Passer,Week 14,,2013
Courtney Upshaw,DT,BAL,"$15,750.00 ",Roughing the Passer,Week 14,,2013
Lamarr Houston,OLB,OAK,"$7,875.00 ",Roughing the Passer,Week 14,,2013
Darnell Dockett,DE,ARI,"$7,875.00 ",Striking/Kicking/Kneeing,Week 14,,2013
Cody Wallace,C,PIT,"$7,875.00 ",Striking/Kicking/Kneeing,Week 14,,2013
Cody Wallace,C,PIT,"$10,000.00 ",Late Hit,Week 14,,2013
George Selvie,DE,DAL,"$15,750.00 ",Roughing the Passer,Week 14,,2013
Orlando Scandrick,CB,DAL,"$21,000.00 ",Hit on Defenseless Player,Week 14,,2013
DeAndre Levy,OLB,DET,"$15,750.00 ",Helmet-to-Helmet Hit,Week 13,,2013
Clay Matthews,OLB,GB,"$15,750.00 ",Helmet-to-Helmet Hit,Week 13,,2013
Sean Weatherspoon,ILB,ATL,"$15,750.00 ",Roughing the Passer,Week 13,,2013
Glover Quin,FS,DET,"$7,875.00 ",Late Hit,Week 13,,2013
Kris Durham,WR,DET,"$7,875.00 ",Face Mask,Week 13,,2013
Adam Snyder,G,SF,"$7,875.00 ",Late Hit,Week 13,,2013
Rhett Ellison,TE,MIN,"$7,875.00 ",Face Mask,Week 13,,2013
Richard Sherman,CB,SEA,"$7,875.00 ",Hit on Defenseless Player,Week 13,,2013
Moise Fokou,ILB,TEN,"$7,875.00 ",Late Hit,Week 13,,2013
Chris Cook,CB,MIN,"$26,250.00 ",Physical Contact with Official,Week 13,,2013
Tramon Williams,CB,GB,"$26,250.00 ",Physical Contact with Official,Week 13,,2013
Travis Lewis,ILB,DET,"$112,941.00 ",Violating the league's policy on performance-enhancing substances,,,2013
Ndamukong Suh,DT,DET,"$7,875.00 ",Taunting,Week 12,,2013
Antonio Smith,DE,HOU,"$15,750.00 ",Roughing the Passer,Week 12,,2013
LaRon Landry,S,IND,"$15,750.00 ",Roughing the Passer,Week 12,,2013
Sio Moore,OLB,OAK,"$15,750.00 ",Roughing the Passer,Week 12,,2013
William Gay,CB,PIT,"$15,750.00 ",Roughing the Passer,Week 12,,2013
Cameron Wake,DE,MIA,"$15,750.00 ",Roughing the Passer,Week 12,,2013
Cameron Jordan,DE,NO,"$10,000.00 ",Roughing the Passer,Week 12,,2013
Kyle Long,G,CHI,"$7,875.00 ",Striking/Kicking/Kneeing,Week 12,,2013
Tony Fiammetta,FB,CHI,"$7,875.00 ",Face Mask,Week 12,,2013
Michael Griffin,FS,TEN,"$205,882.00 ",Repeat Offender of Hits to the HEad,,,2013
Walter Thurmond,FS,SEA,"$177,852.00 ",Substance Abuse (Marijuana),,,2013
Gerald McCoy,DT,TB,"$15,750.00 ",Roughing the Passer,Week 11,,2013
E.J. Biggers,CB,WAS,"$21,000.00 ",Helmet-to-Helmet Hit,Week 11,,2013
Zackary Bowman,CB,CHI,"$15,750.00 ",Horse Collar Tackle,Week 11,,2013
Marcus Cannon,RT,NE,"$15,750.00 ",Leg Whip,Week 11,,2013
Ahmad Brooks,OLB,SF,"$15,750.00 ",Roughing the Passer,Week 11,,2013
Dashon Goldson,FS,TB,"$264,705.00 ",Violating Player Safety Policy (hit on Roddy White (ATL),,,2013
Erik Walden,OLB,IND,"$176,470.00 ",Head-Butting Delanie Walker (TEN),,,2013
Bernard Pollard,S,TEN,"$15,750.00 ",Late Hit,Week 10,,2013
Colin Kaepernick,QB,SF,"$7,875.00 ",Face Mask,Week 10,,2013
Najee Goode,OLB,PHI,"$10,000.00 ",Roughing the Passer,Week 10,,2013
Clay Matthews,OLB,GB,"$15,750.00 ",Roughing the Passer,Week 10,,2013
Michael Bennett,DE,SEA,"$15,750.00 ",Roughing the Passer,Week 10,,2013
Charles Tillman,CB,CHI,"$7,875.00 ",Face Mask,Week 10,,2013
Willie Young,OLB,DET,"$15,750.00 ",Roughing the Passer,Week 10,,2013
Nick Fairley,DT,DET,"$15,750.00 ",Roughing the Passer,Week 10,,2013
Chris Crocker,S,CIN,"$7,875.00 ",Face Mask,Week 10,,2013
Carlos Dunlap,DE,CIN,"$15,750.00 ",Horse Collar Tackle,Week 10,,2013
Philip Wheeler,OLB,MIA,"$21,000.00 ",Roughing the Passer,Week 10,,2013
Mike Pouncey,C,MIA,"$7,875.00 ",Unsportsmanlike Conduct,Week 10,,2013
William Moore,SS,ATL,"$22,050.00 ",Hit on Defenseless Player,Week 10,,2013
Trumaine Johnson,CB,STL,"$7,875.00 ",Unsportsmanlike Conduct,Week 10,,2013
LaRoy Reynolds,ILB,JAC,"$95,294.00 ",performance-enhancing substances,,,2013
Bernard Pollard,S,TEN,"$10,000.00 ",Late Hit,Week 9,,2013
Logan Mankins,G,NE,"$10,000.00 ",Clipping,Week 9,,2013
Gerald McCoy,DT,TB,"$15,750.00 ",Roughing the Passer,Week 9,,2013
DeSean Jackson,WR,PHI,"$7,875.00 ",Face Mask,Week 9,,2013
London Fletcher,ILB,WAS,"$15,750.00 ",Horse Collar Tackle,Week 9,,2013
Jurrell Casey,DT,TEN,"$15,750.00 ",Horse Collar Tackle,Week 9,,2013
Richie Incognito,G,MIA,"$470,588.00 ",Conduct Detrimental to the Team (MIA),,,2013
Kevin Vickerson,DT,DEN,"$7,875.00 ",Roughing the Passer,Week 8,,2013
Wesley Woodyard,ILB,DEN,"$15,750.00 ",Helmet-to-Helmet Hit,Week 8,,2013
Malik Jackson,DT,DEN,"$7,875.00 ",Late Hit,Week 8,,2013
Joseph Fauria,TE,DET,"$7,875.00 ",Late Hit,Week 8,,2013
Osi Umenyiora,OLB,ATL,"$15,750.00 ",Roughing the Passer,Week 8,,2013
Golden Tate,WR,SEA,"$7,875.00 ",Taunting,Week 8,,2013
Mario Williams,DE,BUF,"$7,875.00 ",Face Mask,Week 8,,2013
Joe Haden,CB,CLE,"$7,875.00 ",Late Hit,Week 8,,2013
David Nelson,WR,NYJ,"$7,875.00 ",Unsportsmanlike Conduct,Week 8,,2013
Vontaze Burfict,OLB,CIN,"$21,000.00 ",Spearing,Week 8,,2013
William Moore,SS,ATL,"$15,750.00 ",Roughing the Passer,Week 8,,2013
Justin Blackmon,WR,JAC,"$651,946.00 ",Substance Abuse,,,2013
Jared Crick,DE,HOU,"$15,750.00 ",Roughing the Passer,Week 7,,2013
Jelani Jenkins,OLB,MIA,"$15,750.00 ",Roughing the Passer,Week 7,,2013
Chris Long,DE,STL,"$15,750.00 ",Striking/Kicking/Kneeing,Week 7,,2013
Harvey Dahl,G,STL,"$7,875.00 ",Late Hit,Week 7,,2013
Brian Quick,WR,STL,"$7,875.00 ",Striking/Kicking/Kneeing,Week 7,,2013
Mike Mitchell,FS,CAR,"$7,875.00 ",Taunting,Week 7,,2013
Steve Smith,WR,CAR,"$7,875.00 ",Striking/Kicking/Kneeing,Week 7,,2013
Brian Orakpo,OLB,WAS,"$15,750.00 ",Roughing the Passer,Week 7,,2013
Elvis Dumervil,OLB,BAL,"$7,875.00 ",Face Mask,Week 7,,2013
Kevin Vickerson,DT,DEN,"$10,000.00 ",Striking/Kicking/Kneeing,Week 7,,2013
Sen'Derrick Marks,DT,JAC,"$7,875.00 ",Unsportsmanlike Conduct,Week 7,,2013
Eric Martin,ILB,CLE,"$7,875.00 ",Late Hit,Week 7,,2013
Ted Larsen,G,TB,"$7,875.00 ",Late Hit,Week 7,,2013
Kelcie McCray,SS,TB,"$7,875.00 ",Unsportsmanlike Conduct,Week 7,,2013
Vincent Jackson,WR,TB,"$7,875.00 ",Face Mask,Week 7,,2013
Stansly Maponga,DE,ATL,"$7,875.00 ",Late Hit,Week 7,,2013
Damontre Moore,DE,NYG,"$7,875.00 ",Late Hit,Week 7,,2013
Logan Ryan,CB,NE,"$10,000.00 ",Celebration,Week 7,,2013
Brandon Meriweather,SS,WAS,"$70,588.00 ",Unnecessary Roughness against Chicago (CHI),,,2013
Brandon Spikes,ILB,NE,"$10,500.00 ",Other Uniform/Equipment Violation,Week 6,,2013
Perry Riley,ILB,WAS,"$15,750.00 ",Roughing the Passer,Week 6,,2013
Malcolm Jenkins,FS,NO,"$15,750.00 ",Helmet-to-Helmet Hit,Week 6,,2013
Jermichael Finley,TE,GB,"$15,750.00 ",Hit on Defenseless Player,Week 6,,2013
Anthony Davis,RT,SF,"$15,750.00 ",Clipping,Week 6,,2013
Alex Boone,G,SF,"$7,875.00 ",Striking/Kicking/Kneeing,Week 6,,2013
Alameda Ta'amu,DT,ARI,"$10,000.00 ",Striking/Kicking/Kneeing,Week 6,,2013
Tyrann Mathieu,FS,ARI,"$10,000.00 ",Unnecessarily Entering Fight Area (active involvement),Week 6,,2013
Darnell Dockett,DE,ARI,"$7,875.00 ",Late Hit,Week 6,,2013
Alex Boone,G,SF,"$51,000.00 ",Off-court/Off-field Violation,Preseason,,2013
Cameron Lawrence,OLB,DAL,"$21,000.00 ",Blindside Block,Week 6,,2013
Brandon Marshall,WR,CHI,"$10,500.00 ",Other Uniform/Equipment Violation,Week 6,,2013
Ndamukong Suh,DT,DET,"$31,500.00 ",Roughing the Passer,Week 6,,2013
Kellen Winslow,TE,NYJ,"$197,647.00 ",PEDs,,,2013
Fred Jackson,RB,BUF,"$7,875.00 ",Taunting,Week 5,,2013
Aaron Williams,SS,BUF,"$12,514.00 ",Helmet-to-Helmet Hit,Week 5,,2013
Daryl Washington,ILB,ARI,"$21,000.00 ",Roughing the Passer,Week 5,,2013
Jerron McMillian,S,GB,"$15,750.00 ",Helmet-to-Helmet Hit,Week 5,,2013
Will Hill,SS,NYG,"$15,750.00 ",Hit on Defenseless Player,Week 5,,2013
Israel Idonije,DE,DET,"$15,750.00 ",Leg Whip,Week 5,,2013
Marshawn Lynch,RB,SEA,"$5,250.00 ",Other Uniform/Equipment Violation,Week 4,,2013
Thomas DeCoud,S,ATL,"$15,750.00 ",Roughing the Passer,Week 4,,2013
William Moore,SS,ATL,"$15,750.00 ",Hit on Defenseless Player,Week 4,,2013
Rocky McIntosh,OLB,DET,"$15,750.00 ",Hit on Defenseless Player,Week 4,,2013
Yeremiah Bell,S,ARI,"$15,750.00 ",Helmet-to-Helmet Hit,Week 4,,2013
Jason Babin,DE,JAC,"$15,750.00 ",Roughing the Passer,Week 4,,2013
Michael Griffin,FS,TEN,"$21,000.00 ",Hit on Defenseless Player,Week 4,,2013
Muhammad Wilkerson,DE,NYJ,"$15,750.00 ",Roughing the Passer,Week 4,,2013
Quinton Coples,OLB,NYJ,"$15,750.00 ",Roughing the Passer,Week 4,,2013
Jordan Todman,RB,JAC,"$7,875.00 ",Late Hit,Week 4,,2013
Jim Leonhard,S,BUF,"$15,750.00 ",Hit on Defenseless Player,Week 4,,2013
Donte Whitner,SS,SF,"$21,000.00 ",Helmet-to-Helmet Hit,Week 4,,2013
Janoris Jenkins,CB,STL,"$7,875.00 ",Face Mask,Week 4,,2013
Darnell Dockett,DE,ARI,"$15,750.00 ",Horse Collar Tackle,Week 4,,2013
Vontaze Burfict,OLB,CIN,"$21,000.00 ",Hit on Defenseless Player,Week 3,,2013
Vontaze Burfict,OLB,CIN,"$10,000.00 ",Striking/Kicking/Kneeing,Week 3,,2013
Antonio Brown,WR,PIT,"$7,875.00 ",Late Hit,Week 3,,2013
Antonio Brown,WR,PIT,"$7,875.00 ",Face Mask,Week 3,,2013
Alex Henery,K,PHI,"$15,750.00 ",Horse Collar Tackle,Week 3,,2013
Nick Fairley,DT,DET,"$10,000.00 ",Late Hit,Week 3,,2013
Bryant McKinnie,LT,BAL,"$7,875.00 ",Face Mask,Week 3,,2013
Whitney Mercilus,OLB,HOU,"$15,750.00 ",Roughing the Passer,Week 3,,2013
Moise Fokou,ILB,TEN,"$7,875.00 ",Face Mask,Week 3,,2013
Golden Tate,WR,SEA,"$21,000.00 ",Hit on Defenseless Player,Week 3,,2013
Jonathan Dwyer,RB,PIT,"$21,000.00 ",Crown-of-Helmet Violation,Week 3,,2013
Jeromey Clary,G,SD,"$7,875.00 ",Striking/Kicking/Kneeing,Week 3,,2013
Dez Bryant,WR,DAL,"$7,875.00 ",Celebration,Week 3,,2013
Cam Newton,QB,CAR,"$10,000.00 ",On Field Commercial Logo Violation,Week 3,,2013
George Iloka,SS,CIN,"$15,000.00 ",Hit on Defenseless Player,Week 3,,2013
Ahmad Black,S,TB,"$21,000.00 ",Hit on Defenseless Player,Week 2,,2013
Jackie Battle,FB,TEN,"$21,000.00 ",Crown-of-Helmet Violation,Week 2,,2013
Robert Turner,C,TEN,"$10,000.00 ",Peelback Block,Week 2,,2013
DeMeco Ryans,ILB,PHI,"$21,000.00 ",Hit on Defenseless Player,Week 2,,2013
Vince Wilfork,DT,NE,"$7,875.00 ",Fighting,Week 2,,2013
Alfonzo Dennard,CB,NE,"$7,875.00 ",Fighting,Week 2,,2013
Michael Buchanan,DE,NE,"$7,875.00 ",Fighting,Week 2,,2013
Chandler Jones,OLB,NE,"$17,750.00 ",Roughing the Passer,Week 2,,2013
Israel Idonije,DE,DET,"$15,750.00 ",Roughing the Passer,Week 2,,2013
Charles Tillman,CB,CHI,"$15,750.00 ",Horse Collar Tackle,Week 2,,2013
Will Montgomery,C,WAS,"$10,000.00 ",Peelback Block,Week 2,,2013
Willie Colon,G,NYJ,"$35,000.00 ",Physical Contact with Official,Week 2,,2013
Bernard Pollard,S,TEN,"$42,000.00 ",Hit on Defenseless Player,Week 2,,2013
Kareem Jackson,CB,HOU,"$42,000.00 ",Hit on Defenseless Player,Week 2,,2013
D'Brickashaw Ferguson,LT,NYJ,"$15,750.00 ",Fighting,Week 2,,2013
Brandon Meriweather,SS,WAS,"$42,000.00 ",Helmet-to-Helmet Hit,Week 2,,2013
Clay Matthews,OLB,GB,"$15,000.00 ",Late Hit,Week 1,,2013
Dashon Goldson,FS,TB,"$30,000.00 ",Hit on Defenseless Player,Week 1,,2013
Dawan Landry,S,NYJ,"$21,000.00 ",Hit on Defenseless Player,Week 1,,2013
DeAngelo Hall,CB,WAS,"$20,000.00 ",Horse Collar Tackle,Week 1,,2013
Frank Alexander,DE,CAR,"$15,750.00 ",Fighting,Week 1,,2013
Linval Joseph,DT,NYG,"$15,750.00 ",Roughing the Passer,Week 1,,2013
Ahmad Brooks,OLB,SF,"$12,750.00 ",Roughing the Passer,Week 1,,2013
Lavonte David,OLB,TB,"$7,875.00 ",Hit on Defenseless Player,Week 1,,2013
Daniel Te'o-Nesheim,DE,TB,"$7,875.00 ",Face Mask,Week 1,,2013
Anquan Boldin,WR,SF,"$7,875.00 ",Late Hit,Week 1,,2013
Kenny Vaccaro,SS,NO,"$7,875.00 ",Roughing the Passer,Week 1,,2013
Gino Gradkowski,C,BAL,"$7,875.00 ",Hit on Defenseless Player,Week 1,,2013
Jimmy Smith,CB,BAL,"$7,875.00 ",Hit on Defenseless Player,Week 1,,2013
Cortland Finnegan,CB,STL,"$7,875.00 ",Late Hit,Week 1,,2013
William Hayes,DE,STL,"$7,875.00 ",Late Hit,Week 1,,2013
Arthur Moats,OLB,BUF,"$7,875.00 ",Face Mask,Week 1,,2013
Anthony Castonzo,LT,IND,"$7,875.00 ",Face Mask,Week 1,,2013
Dion Jordan,DE,MIA,"$7,875.00 ",Face Mask,Week 1,,2013
Barry Church,SS,DAL,"$5,250.00 ",Ball Into Stands,Week 1,,2013
Dashon Goldson,FS,TB,"$100,000.00 ",Helmet-to-Helmet Hit,Week 1,,2013
Brandon McDonald,CB,TB,0N/A,Substance Abuse,,,2013
Tom Zbikowski,S,CHI,0N/A,Substance Abuse,,,2013
Ndamukong Suh,DT,DET,"$100,000.00 ",Low Block,Week 1,,2013
R.J. Mattes,RT,NE,"$95,294.00 ",PED,,,2013
Brynden Trawick,SS,BAL,"$21,000.00 ",Blindside Block,Preseason,,2013
DeQuin Evans,DE,CIN,"$190,588.00 ",PED,,,2013
Willie Young,OLB,DET,"$7,875.00 ",Taunting,Preseason,,2013
Matt Simms,QB,NYJ,"$7,875.00 ",Celebration,Preseason,,2013
Vladimir Ducasse,G,NYJ,"$7,875.00 ",Leg Whip,Preseason,,2013
Nick Fairley,DT,DET,"$7,875.00 ",Late Hit,Preseason,,2013
Joseph Fauria,TE,DET,"$7,875.00 ",Chop Block,Preseason,,2013
Ramon Harewood,G,BAL,"$7,875.00 ",Chop Block,Preseason,,2013
Ben Bass,DT,DAL,"$15,750.00 ",Horse Collar Tackle,Preseason,,2013
C.J. Mosley,DT,DET,"$7,875.00 ",Late Hit,Preseason,,2013
Armond Smith,RB,CAR,"$15,000.00 ",Unsportsmanlike Conduct,Preseason,,2013
Mike Goodson,RB,NYJ,"$250,253.00 ",Substance Abuse,,,2013
Jerome Felton,FB,MIN,"$150,000.00 ",Substance Abuse,,,2013
Brandon Harris,CB,HOU,"$21,000.00 ",Hit on Defenseless Player,Preseason,,2013
Aaron Ross,CB,NYG,"$7,785.00 ",Face Mask,Preseason,,2013
Andre Caldwell,WR,DEN,"$7,875.00 ",Face Mask,Preseason,,2013
Colin Jones,SS,CAR,"$21,000.00 ",Blindside Block,Preseason,,2013
Robert Griffin III,QB,WAS,"$10,000.00 ",Other Uniform/Equipment Violation,Preseason,,2013
Jon Bostic,ILB,CHI,"$21,000.00 ",Hit on Defenseless Player,Preseason,,2013
Von Miller,OLB,DEN,"$806,161.00 ",Substance Abuse,,,2013
Antonio Smith,DE,HOU,"$352,941.00 ",Fighting with Miami guard Richie Incognito,,,2013
JoLonn Dunbar,OLB,STL,"$305,882.00 ",PED,,,2013
Demarcus Dobbs,DE,SF,"$32,647.00 ",Substance Abuse,,,2013
Asa Jackson,CB,BAL,"$225,882.00 ",PED,,,2013
DeMarcus Love,LT,MIN,"$130,588.00 ",PED,,,2013
Andre Holmes,WR,OAK,"$130,588.00 ",Substance Abuse,,,2013
Jarvis Jenkins,DE,WAS,"$167,009.00 ",Substance Abuse,,,2013
Will Hill,SS,NYG,"$112,941.00 ",PED,,,2013
Weslye Saunders,WR,IND,"$261,176.00 ",PEDs (2nd offense),,,2013
Bert Reed,WR,PIT,0N/A,Substance Abuse,,,2013
Brandon Collins,WR,NYG,"$95,294.00 ",Substance Abuse,,,2013
LaVon Brazill,WR,IND,"$112,941.00 ",Substance Abuse,,,2013
Josh Gordon,WR,CLE,"$148,894.00 ",Substance Abuse,,,2013
Gabe Miller,TE,CHI,"$95,294.00 ",PED,,,2013
Isaiah Pead,RB,STL,"$33,738.00 ",Substance Abuse,,,2013
Rokevious Watkins,G,STL,"$23,823.00 ",Violating the NFL's substance abuse policy,,,2013
Bruce Irvin,OLB,SEA,"$157,786.00 ",PED,,,2013
Justin Blackmon,WR,JAC,"$289,754.00 ",Substance Abuse,,,2013
James Sanders,S,ARI,0N/A,Substance Abuse,,,2013
Larry Grant,LB,CLE,0N/A,Substance Abuse,,,2013
Daryl Washington,ILB,ARI,"$564,706.00 ",for the first four games of the 2013 regular season for violating the NFL Policy and Program for Substances of Abuse,,,2013
Christian Thompson,S,BAL,"$112,941.00 ",Substance Abuse,,,2013
Rob Jackson,OLB,WAS,"$168,235.00 ",Substance Abuse,,,2013
Taitusi Lutui,G,TEN,0N/A,Substance Abuse,,,2013